"traitee","nom","qui","lang","thumbnail","topic","Traitée ?","tochecker","","","","","","","","","","","","","","","","","","","",""
"yes","Asclépios","cécile","fr","https://yt3.ggpht.com/a/AATXAJyYfL1ekd9jbbiB38P-ogSX7-oIdmAZC_5G=s88","Médecine","","Stupid Economics","","","","","","","","","","","","","","","","","","","",""
"en cours","Nota Bene","cécile","fr","https://yt3.ggpht.com/a/AATXAJzilcmC-OiWwMG76scOHNtD7kkmTlhlyc-yag=s88","Histoire","","Zeste de science","","","","","","","","","","","","","","","","","","","",""
"yes","Primum Non Nocere","cécile","fr","https://yt3.ggpht.com/a/AATXAJwZp5cTkzPJk-y4vGOo1cEIzCPbjg2xApZcRw=s88","Médecine","","Science4All","","","","","","","","","","","","","","","","","","","",""
"yes","Max Bird","cécile","fr","https://yt3.ggpht.com/a/AATXAJwndeI8bzCKEKXvYr_uT_hmEy3gKTcvLSv8=s88","Sciences","","astronogeek","","","","","","","","","","","","","","","","","","","",""
"yes","DirtyBiology","cécile","fr","https://yt3.ggpht.com/a/AATXAJzL3BssRoXUCyqdn7Z4HfW3h8ttbk822YJTLw=s88","Biologie","","defakator","","","","","","","","","","","","","","","","","","","",""
"yes","Le Réveilleur","guillaume","fr","https://yt3.ggpht.com/a/AATXAJyIbDf7SsZXeCI95elazTBxUlvA2HazFs0Xag=s88","Ecologie","","","","","","","","","","","","","","","","","","","","","",""
"yes","Le Vortex","cécile","fr","https://yt3.ggpht.com/a/AATXAJxVWL2n9vuNO6uo7PHa8Q15e2ENxsEydZK88w=s88","Sciences","","Biologie tout compris","","","","","","","","","","","","","","","","","","","",""
"yes","Scinéma","cécile","fr","https://yt3.ggpht.com/a/AATXAJxkcj3cCL5eWmllLKK4HkI4Dw9gWCgg0UJuUw=s88","Cinéma","","Dans ton corps","","","","","","","","","","","","","","","","","","","",""
"yes","Monsieur Phi","guillaume","fr","https://yt3.ggpht.com/a/AATXAJyYvggGm97TSTbqNm7I8zGYjQ9wF8bIbKU7_g=s88","Philosophie","","Histoire brève","","","","","","","","","","","","","","","","","","","",""
"yes","Axolot","cécile","fr","https://yt3.ggpht.com/a/AATXAJzeRYyUEzcydzC8dwjACVKktVB9STFQLpbcrw=s88","Insolite","","PsyLab","","","","","","","","","","","","","","","","","","","",""
"non","Chat Sceptique","guillaume","fr","https://yt3.ggpht.com/a/AATXAJwQr8EqjZZX4S4kMEY7Jx9ESfbFNK6qOsAOrA=s88","Esprit Critique","","Micmaths","","","","","","","","","","","","","","","","","","","",""
"non","Data Gueule","guillaume","fr","https://yt3.ggpht.com/a/AATXAJy9BwPsFFR7CfBYor_1fjUYLf04G4Glu-A66w=s88","Société","","Vidéothèque d'Alexandrie","","","","","","","","","","","","","","","","","","","",""
"non","Heu?reka","guillaume","fr","https://yt3.ggpht.com/a/AATXAJxjCeyltv65_KRNHOXSVswZFc6qGipXV_6UMw=s88","Economie","","Photosynthèse","","","","","","","","","","","","","","","","","","","",""
"non","Hygiène Mentale","guillaume","fr","https://yt3.ggpht.com/a/AATXAJwX9ADYoSVxL0kChZOzBYgM4o1gO_0hF4fLKA=s88","Esprit Critique","","Homo Fabulus","","","","","","","","","","","","","","","","","","","",""
"non","Le monde en cartes","guillaume","fr","https://yt3.ggpht.com/a/AATXAJydqQUxrTDxezdyBBVxFNmsAoTaOvWXbUZ0ow=s88","Géopolitique","","Joe Scott","","","","","","","","","","","","","","","","","","","",""
"non","Marketing Mania","guillaume","fr","https://yt3.ggpht.com/a/AATXAJyVsrjF7b1u6LVNnuVuFtX_oNZLPa-2E7Nv=s88","Psychologie","","Fouloscopie","","","","","","","","","","","","","","","","","","","",""
"non","monsieur bidouille","guillaume","fr","https://yt3.ggpht.com/a/AATXAJwnk-Z4Wa2R0b34TgRm8w1dX15fkh7RxgP-JQ=s88","Ingénierie","","Robert Miles","","","","","","","","","","","","","","","","","","","",""
"non","Victor Ferry","guillaume","fr","https://yt3.ggpht.com/a/AATXAJzfr-u3y1T4N0XFUbjH9Qu-RcASCQGjov8W=s88","Rhétorique","","Dimanche à 10h","","","","","","","","","","","","","","","","","","","",""
"non","El Jj","guillaume","fr","https://yt3.ggpht.com/a/AATXAJzE3o12ST1T5TrC5qoQdfj10pklbvNaa-Raug=s88","Maths","","Parlons peu mais parlons","","","","","","","","","","","","","","","","","","","",""
"non","e-penser","cécile","fr","https://yt3.ggpht.com/a/AATXAJxExu-Tdw_Az7k2e5mexf_SbpMGU8MX0ER5lQ=s88","Sciences","","Fabien Olicard (matière grise)","","","","","","","","","","","","","","","","","","","",""
"non","Occulture","cécile","fr","https://yt3.ggpht.com/a/AATXAJxg7gIWhVFfgzi3Gi8i-5mpi1CnUiMtVmpxkA=s88","Mythes","","Dimension","","","","","","","","","","","","","","","","","","","",""
"yes","Aude GG","cécile","fr","https://yt3.ggpht.com/a/AATXAJwCevVu_FMnOojiJesgg-xOsfHZ4XBXvaGvHw=s88","Féminisme","","ScienceClic","","","","","","","","","","","","","","","","","","","",""
"non","C'est une autre histoire","cécile","fr","https://yt3.ggpht.com/a/AATXAJxF1BJvGevYRzmRNHBKy675ggjm9Po9MvLjww=s88","Histoire","","Balade mentale","","","","","","","","","","","","","","","","","","","",""
"non","Doc Seven","cécile","fr","https://yt3.ggpht.com/a/AATXAJyCnAGjod-85ipAm0S57dTzonC8bcamqLtM-g=s88","Général","","J'ménerve pas j'explique","","","","","","","","","","","","","","","","","","","",""
"en cours","Fabien Campaner & Lucie Card","cécile","fr","https://yt3.ggpht.com/a/AATXAJyP2EPAXeEppKwqNM0HTm-jC0_TbyIbFtmKAw=s88","Cinéma","","Lanterne cosmique","","","","","","","","","","","","","","","","","","","",""
"yes","Les Revues du Monde","cécile","fr","https://yt3.ggpht.com/a/AATXAJxnyKG6wP80O0G3pEQpuANKn64wFw3HIaYLwg=s88","Archéologie","","Dimension Débat","","","","","","","","","","","","","","","","","","","",""
"non","Linguisticae","cécile","fr","https://yt3.ggpht.com/a/AATXAJwbMMZoNnPvTpsZHPFqOQJx-SDHRNIyFvvHkQ=s88","Linguistique","","Machine Learnia","","","","","","","","","","","","","","","","","","","",""
"non","Parlons Y-stoire","cécile","fr","https://yt3.ggpht.com/a/AATXAJz4T2BtmJh35V4nDU6ZOiAcFta5t09lS3OD=s88","Histoire","","Thibault Neveu","","","","","","","","","","","","","","","","","","","",""
"non","Passé sauvage","cécile","fr","https://yt3.ggpht.com/a/AATXAJwiJ3DP9jk13zuImf3HvjzWTr02GBPDtOV7GA=s88","Anthropologie","","Stardust","","","","","","","","","","","","","","","","","","","",""
"non","Questions d'Histoire","cécile","fr","https://yt3.ggpht.com/a/AATXAJxMdw_5ysxsqVxZB-pSLzzZTCOhBFaFqiEANA=s88","Histoire","","Hugo Lisoir","","","","","","","","","","","","","","","","","","","",""
"non","ScienceEtonnante","guillaume","fr","https://yt3.ggpht.com/a/AATXAJy80SJtpUBY_1_6gP818cslYePtlt_ANcNbkw=s88","Sciences","","Techniques spatiales (1ère et dernière vidéos)","","","","","","","","","","","","","","","","","","","",""
"non","Scilabus","cécile","fr","https://yt3.ggpht.com/a/AATXAJzJhxZqaeN1ZPfYZleVzK_Dcb5vFFOY8s3GiQ=s88","Sciences","","Les frères Poulain","","","","","","","","","","","","","","","","","","","",""
"yes","Jean-Marc Jancovici","guillaume","fr","https://yt3.ggpht.com/a/AATXAJyNz_rmaXWMRa4LudssAghhx0sWxXMhd2M20Q=s88","Ecologie","","Henri Hihacks","","","","","","","","","","","","","","","","","","","",""
"non","L'Histoire nous le dira","cécile","fr","https://yt3.ggpht.com/a/AATXAJwXO-9fR19g6vaWJ_vuxsc7Cko7Jms4nRVC=s88","Histoire","","Héliox","","","","","","","","","","","","","","","","","","","",""
"non","Le Fossoyeur de Films","cécile","fr","https://yt3.ggpht.com/a/AATXAJwHs8w5UmVlUn90xf6Sx2gFwPnQVsZTwzCQeA=s88","Cinéma","","Thonain","","","","","","","","","","","","","","","","","","","",""
"non","La Tronche en Biais","cécile","fr","https://yt3.ggpht.com/a/AATXAJxaJf93kr5JfbH825xbREi_bSk33rhJXpIiRA=s88","Esprit Critique","","Lemmino","","","","","","","","","","","","","","","","","","","",""
"non","pvnova","guillaume","fr","https://yt3.ggpht.com/a/AATXAJyFW4Ibldm7xkS1rfGumcDScJXE9jUlr6nzrA=s88","Musique","","Captain Popcorn","","","","","","","","","","","","","","","","","","","",""
"en cours","CNES","cécile","fr","https://yt3.ggpht.com/a/AATXAJwueSXkMaxeTvUdzQ45TrWRFLc9dVJ04CCLGQ=s88","Astronomie","","Wireless Philosophy","rec mr phi","","","","","","","","","","","","","","","","","","",""
"en cours","Musée du Louvre","cécile","fr","https://yt3.ggpht.com/a/AATXAJxNpASANXYhprlovdw_nTos8twZaOK6gGgQxg=s88","Arts","","paradoxe","rec mr phi","","","","","","","","","","","","","","","","","","",""
"non","Kurzgesagt - In a Nutshell","guillaume","en","https://yt3.ggpht.com/a/AATXAJx8TV7CrYQtqIcYO7YvY6uejNRqvk-XrEXjAA=s88","Général","","professeur culture précieuse","rec mr phi","","","","","","","","","","","","","","","","","","",""
"non","PBS Eons","cécile","en","https://yt3.ggpht.com/a/AATXAJyjCIjY_ixC_2siCX8bvhxvMgZba0VRsbCpHA=s88","Paléontologie","","Trucs de philo","rec mr phi","","","","","","","","","","","","","","","","","","",""
"non","PBS Space Time","guillaume","en","https://yt3.ggpht.com/a/AATXAJzAkx2QIYvi0ijYewRKIpHRV_-m6XJ7dnayFA=s88","Astrophysique","","Passe-Science","","","","","","","","","","","","","","","","","","","",""
"non","CrashCourse","both","en","https://yt3.ggpht.com/a/AATXAJxKz-xLvS6S8GF68UAt7xxxVNxliUQmKawZbA=s88","Général","","Risque alpha","","","","","","","","","","","","","","","","","","","",""
"non","Real Engineering","guillaume","en","https://yt3.ggpht.com/a/AATXAJzjUCwDir2oqeb1ybCMBKMWNA3pG8yh0QmziA=s88","Ingénierie","","Herodot'com","","","","","","","","","","","","","","","","","","","",""
"non","CGP Grey","guillaume","en","https://yt3.ggpht.com/a/AATXAJx12sXxuXeNDko-7bIh1CqCgpJ8DWbg2YdQgw=s88","Général","","Histony","","","","","","","","","","","","","","","","","","","",""
"non","minutephysics","guillaume","en","https://yt3.ggpht.com/a/AATXAJyw3Q27fQG11zCjMdDhgm1Ceqs4T75bxHDHGQ=s88","Physique","","La prof","","","","","","","","","","","","","","","","","","","",""
"non","Computerphile","guillaume","en","https://yt3.ggpht.com/a/AATXAJzXS-xzGQGviuVY1z5xj_jm97ZSbHUDxdn5FQ=s88","Informatique","","Brandon's stories","","","","","","","","","","","","","","","","","","","",""
"non","Vsauce","guillaume","en","https://yt3.ggpht.com/a/AATXAJx9YStp2fryMYCVBH5hyl4lsYFPW5_PL_-F2w=s88","Général","","Horror Humanun Est","","","","","","","","","","","","","","","","","","","",""
"non","3blue1brown","guillaume","en","https://yt3.ggpht.com/a/AATXAJzHMcyAuLrGMetWvvQr2SNxX_Te6uPrZP8SzQ=s88","Maths","","scherzando (histoire de la musique)","","","","","","","","","","","","","","","","","","","",""
"yes","SEB","guillaume","fr","https://yt3.ggpht.com/a/AATXAJwtxsjBtH_Drcvl6fORe6U8VVjKLI5YmtDmBw=s88","Musique","","Odieux connard","","","","","","","","","","","","","","","","","","","",""
"non","Science4All","guillaume","fr","https://yt3.ggpht.com/a/AATXAJykiJwq-C4DtfdIlImjE-3y2r5I7u7hFkIdog=s88","Sciences","","","","","","","","","","","","","","","","","","","","","",""
"non","La statistique expliquée à mon chat","guillaume","fr","https://yt3.ggpht.com/a/AATXAJzOw_P-pE6jiBMWXp9CbDQ9LkYJmNE3Uq9U4g=s88","Sciences","","","","","","","","","","","","","","","","","","","","","",""